Samples,Samplename,Type,Mom,Time,ColonyID,Focus
M11r10,2015-M11r10,egg,M11,yr15,M11,Yes
M11r11,2015-M11r11,egg,M11,yr15,M11,Yes
M11r1,2015-M11r1,egg,M11,yr15,M11,Yes
M11r2,2015-M11r2,egg,M11,yr15,M11,Yes
M11r3,2015-M11r3,egg,M11,yr15,M11,Yes
M11r4,2015-M11r4,egg,M11,yr15,M11,Yes
M11r5,2015-M11r5,egg,M11,yr15,M11,Yes
M11r6,2015-M11r6,egg,M11,yr15,M11,Yes
M11r7,2015-M11r7,egg,M11,yr15,M11,Yes
M11r8,2015-M11r8,egg,M11,yr15,M11,Yes
M11r9,2015-M11r9,egg,M11,yr15,M11,Yes
M11,2015-M11,adult,M11,yr15,M11,Yes
M24r10,2015-M24r10,egg,M24,yr15,M24,Yes
M24r11,2015-M24r11,egg,M24,yr15,M24,Yes
M24r12,2015-M24r12,egg,M24,yr15,M24,Yes
M24r1,2015-M24r1,egg,M24,yr15,M24,Yes
M24r2,2015-M24r2,egg,M24,yr15,M24,Yes
M24r3,2015-M24r3,egg,M24,yr15,M24,Yes
M24r4,2015-M24r4,egg,M24,yr15,M24,Yes
M24r5,2015-M24r5,egg,M24,yr15,M24,Yes
M24r6,2015-M24r6,egg,M24,yr15,M24,Yes
M24r7,2015-M24r7,egg,M24,yr15,M24,Yes
M24r8,2015-M24r8,egg,M24,yr15,M24,Yes
M24r9,2015-M24r9,egg,M24,yr15,M24,Yes
M24,2015-M24,adult,M24,yr15,M24,Yes
M26r10,2015-M26r10,egg,M26,yr15,M26,NA
M26r11,2015-M26r11,egg,M26,yr15,M26,NA
M26r12,2015-M26r12,egg,M26,yr15,M26,NA
M26r1,2015-M26r1,egg,M26,yr15,M26,NA
M26r2,2015-M26r2,egg,M26,yr15,M26,NA
M26r3,2015-M26r3,egg,M26,yr15,M26,NA
M26r4,2015-M26r4,egg,M26,yr15,M26,NA
M26r5,2015-M26r5,egg,M26,yr15,M26,NA
M26r6,2015-M26r6,egg,M26,yr15,M26,NA
M26r7,2015-M26r7,egg,M26,yr15,M26,NA
M26r8,2015-M26r8,egg,M26,yr15,M26,NA
M26r9,2015-M26r9,egg,M26,yr15,M26,NA
M26,2015-M26,adult,M26,yr15,M26,NA
M28r10,2015-M28r10,egg,M28,yr15,M28,NA
M28r11,2015-M28r11,egg,M28,yr15,M28,NA
M28r12,2015-M28r12,egg,M28,yr15,M28,NA
M28r1,2015-M28r1,egg,M28,yr15,M28,NA
M28r2,2015-M28r2,egg,M28,yr15,M28,NA
M28r3,2015-M28r3,egg,M28,yr15,M28,NA
M28r4,2015-M28r4,egg,M28,yr15,M28,NA
M28r5,2015-M28r5,egg,M28,yr15,M28,NA
M28r6,2015-M28r6,egg,M28,yr15,M28,NA
M28r7,2015-M28r7,egg,M28,yr15,M28,NA
M28r8,2015-M28r8,egg,M28,yr15,M28,NA
M28r9,2015-M28r9,egg,M28,yr15,M28,NA
M28,2015-M28,adult,M28,yr15,M28,NA
M29r10,2015-M29r10,egg,M29,yr15,M29,NA
M29r11,2015-M29r11,egg,M29,yr15,M29,NA
M29r12,2015-M29r12,egg,M29,yr15,M29,NA
M29r1,2015-M29r1,egg,M29,yr15,M29,NA
M29r2,2015-M29r2,egg,M29,yr15,M29,NA
M29r3,2015-M29r3,egg,M29,yr15,M29,NA
M29r4,2015-M29r4,egg,M29,yr15,M29,NA
M29r5,2015-M29r5,egg,M29,yr15,M29,NA
M29r6,2015-M29r6,egg,M29,yr15,M29,NA
M29r7,2015-M29r7,egg,M29,yr15,M29,NA
M29r8,2015-M29r8,egg,M29,yr15,M29,NA
M29r9,2015-M29r9,egg,M29,yr15,M29,NA
M29,2015-M29,adult,M29,yr15,M29,NA
M32r1,2015-M32r1,egg,M32,yr15,M32,NA
M32r2,2015-M32r2,egg,M32,yr15,M32,NA
M32r3,2015-M32r3,egg,M32,yr15,M32,NA
M32r4,2015-M32r4,egg,M32,yr15,M32,NA
M32r5,2015-M32r5,egg,M32,yr15,M32,NA
M32,2015-M32,adult,M32,yr15,M32,NA
M7r10,2015-M7r10,egg,M7,yr15,M7,Yes
M7r11,2015-M7r11,egg,M7,yr15,M7,Yes
M7r1,2015-M7r1,egg,M7,yr15,M7,Yes
M7r2,2015-M7r2,egg,M7,yr15,M7,Yes
M7r3,2015-M7r3,egg,M7,yr15,M7,Yes
M7r4,2015-M7r4,egg,M7,yr15,M7,Yes
M7r5,2015-M7r5,egg,M7,yr15,M7,Yes
M7r6,2015-M7r6,egg,M7,yr15,M7,Yes
M7r7,2015-M7r7,egg,M7,yr15,M7,Yes
M7r8,2015-M7r8,egg,M7,yr15,M7,Yes
M7r9,2015-M7r9,egg,M7,yr15,M7,Yes
M7,2015-M7,adult,M7,yr15,M7,Yes
M8r10,2015-M8r10,egg,M8,yr15,M8,NA
M8r11,2015-M8r11,egg,M8,yr15,M8,NA
M8r1,2015-M8r1,egg,M8,yr15,M8,NA
M8r2,2015-M8r2,egg,M8,yr15,M8,NA
M8r3,2015-M8r3,egg,M8,yr15,M8,NA
M8r4,2015-M8r4,egg,M8,yr15,M8,NA
M8r5,2015-M8r5,egg,M8,yr15,M8,NA
M8r6,2015-M8r6,egg,M8,yr15,M8,NA
M8r7,2015-M8r7,egg,M8,yr15,M8,NA
M8r8,2015-M8r8,egg,M8,yr15,M8,NA
M8r9,2015-M8r9,egg,M8,yr15,M8,NA
M8,2015-M8,adult,M8,yr15,M8,NA
M8t,2015-M8t,egg,M8,yr15,M8,NA
M9r10,2015-M9r10,egg,M9,yr15,M9,Yes
M9r11,2015-M9r11,egg,M9,yr15,M9,Yes
M9r12,2015-M9r12,egg,M9,yr15,M9,Yes
M9r1,2015-M9r1,egg,M9,yr15,M9,Yes
M9r2,2015-M9r2,egg,M9,yr15,M9,Yes
M9r3,2015-M9r3,egg,M9,yr15,M9,Yes
M9r4,2015-M9r4,egg,M9,yr15,M9,Yes
M9r5,2015-M9r5,egg,M9,yr15,M9,Yes
M9r6,2015-M9r6,egg,M9,yr15,M9,Yes
M9r7,2015-M9r7,egg,M9,yr15,M9,Yes
M9r8,2015-M9r8,egg,M9,yr15,M9,Yes
M9r9,2015-M9r9,egg,M9,yr15,M9,Yes
M9,2015-M9,adult,M9,yr15,M9,Yes
m11C,2016-11C,adult,M11,yr16,M11,Yes
